Postnummer,Poststedsnavn,Kategori,Primærkommunenummer,Primærkommunenavn,Primærfylkenummer,Primærfylke,X_gateadresser,Y_gateadresser,X_postbokser,Y_postbokser,Latitude_gateadresser,Longitude_gateadresser,Latitude_postbokser,Longitude_postbokser
4816,KOLBJØRNSVIK,G,4203,ARENDAL,42,AGDER,6495741,136207,,,58.4502259070585,8.76138905049616,,
4817,HIS,G,4203,ARENDAL,42,AGDER,6493844,135020,,,58.432300824613,8.74419061760028,,
4818,FÆRVIK,G,4203,ARENDAL,42,AGDER,6496160,139512,,,58.4567038048604,8.81702577760478,,
4820,FROLAND,G,4214,FROLAND,42,AGDER,6502407,130093,,,58.5046011409307,8.64650178810124,,
4821,RYKENE,G,4203,ARENDAL,42,AGDER,6492119,128583,,,58.4114890708205,8.63742376506499,,
4822,RYKENE,P,4203,ARENDAL,42,AGDER,,,6491889,128646,,,58.4094894674895,8.63886685095881
4823,NEDENES,G,4203,ARENDAL,42,AGDER,6491659,132075,,,58.410329562874,8.6975619452371,,
4824,BJORBEKK,G,4203,ARENDAL,42,AGDER,6495046,133065,,,58.441396977409,8.70899127605076,,
4825,ARENDAL,G,4203,ARENDAL,42,AGDER,6495378,134424,,,58.4454985791417,8.7316013033876,,
4827,FROLANDS VERK,G,4214,FROLAND,42,AGDER,6502328,126143,,,58.5005309069089,8.57927348288229,,
4828,MJÅVATN,G,4214,FROLAND,42,AGDER,6507073,121349,,,58.5387412763975,8.48967461837895,,
4830,HYNNEKLEIV,G,4214,FROLAND,42,AGDER,6514504,117884,,,58.6020183395363,8.41806497123204,,
4832,MYKLAND,G,4214,FROLAND,42,AGDER,6518576,110680,,,58.6319501870156,8.28795517421328,,
4834,RISDAL,G,4214,FROLAND,42,AGDER,6523615,101657,,,58.6687015719712,8.12479665780132,,
4836,ARENDAL,G,4203,ARENDAL,42,AGDER,6496931,136644,,,58.4612138451129,8.76694549527492,,
4838,ARENDAL,G,4203,ARENDAL,42,AGDER,6497300,136271,,,58.464198181938,8.76000473828357,,
4839,ARENDAL,G,4203,ARENDAL,42,AGDER,6496026,135400,,,58.452098428401,8.74719137619942,,
4841,ARENDAL,G,4203,ARENDAL,42,AGDER,6497181,137551,,,58.4641988581584,8.78200327852807,,
4842,ARENDAL,G,4203,ARENDAL,42,AGDER,6497888,138502,,,58.4712989924372,8.79709206872843,,
4843,ARENDAL,G,4203,ARENDAL,42,AGDER,6498168,137901,,,58.4733014565204,8.78640637669415,,
4844,ARENDAL,G,4203,ARENDAL,42,AGDER,6498315,137163,,,58.474001792709,8.77359524680837,,
4846,ARENDAL,G,4203,ARENDAL,42,AGDER,6498573,136436,,,58.4757010141715,8.76079486423348,,
4847,ARENDAL,G,4203,ARENDAL,42,AGDER,6497219,135576,,,58.4628962002296,8.7482919727011,,
4848,ARENDAL,G,4203,ARENDAL,42,AGDER,6498854,134151,,,58.476302530487,8.72140218343177,,
4849,ARENDAL,G,4203,ARENDAL,42,AGDER,6504539,139242,,,58.5312963499802,8.79920288163919,,
4851,SALTRØD,P,4203,ARENDAL,42,AGDER,,,6500722,142760,,,58.5001081317084,8.86524401635321
4852,FÆRVIK,P,4203,ARENDAL,42,AGDER,,,6498108,139632,,,58.4741966697048,8.81600525126886
4853,HIS,P,4203,ARENDAL,42,AGDER,,,6495293,135893,,,58.4459648317069,8.75675240522766
4854,NEDENES,P,4203,ARENDAL,42,AGDER,,,6492462,132330,,,58.4177122144006,8.7006151614749
4855,FROLAND,P,4214,FROLAND,42,AGDER,,,6502891,129128,,,58.5081023850025,8.6292588603124
4856,ARENDAL,P,4203,ARENDAL,42,AGDER,,,6497802,133819,,,58.4666327975829,8.717426388384
4857,ARENDAL,P,4203,ARENDAL,42,AGDER,,,6497802,133819,,,58.4666327975829,8.717426388384
4858,ARENDAL,P,4203,ARENDAL,42,AGDER,,,6497802,133819,,,58.4666327975829,8.717426388384
4859,ARENDAL,P,4203,ARENDAL,42,AGDER,,,6497639,137962,,,58.4686287562759,8.78828253633912
4862,EYDEHAVN,P,4203,ARENDAL,42,AGDER,,,6500722,142760,,,58.5001081317084,8.86524401635321
4863,NELAUG,G,4217,ÅMLI,42,AGDER,6519344,130931,,,58.6564911037592,8.63328944499136,,
4864,ÅMLI,P,4217,ÅMLI,42,AGDER,,,6532318,123420,,,58.7658076690355,8.48298604562611
4865,ÅMLI,G,4217,ÅMLI,42,AGDER,6532297,123472,,,58.7656656067189,8.48391446690964,,
4868,SELÅSVATN,G,4217,ÅMLI,42,AGDER,6522731,136702,,,58.6915989390172,8.72670238373628,,
4869,DØLEMO,G,4217,ÅMLI,42,AGDER,6527171,114795,,,58.7122923846073,8.34368940154412,,
4870,FEVIK,G,4202,GRIMSTAD,42,AGDER,6488210,130483,,,58.3782012268852,8.67601947515966,,
4876,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6484478,125262,,,58.340462749838,8.59336588211887,,
4877,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6485031,124327,,,58.344599777265,8.57659658149006,,
4878,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6485595,125577,,,58.3507011622547,8.59690141676876,,
4879,GRIMSTAD,G,4202,GRIMSTAD,42,AGDER,6482771,123704,,,58.3238959428614,8.56970126722332,,
